Currency,Rate,Base,Date
LBP,89500.0,USD,2025-07-23 00:02:31+00:00
IRR,42437.684932,USD,2025-07-23 00:02:31+00:00
VND,26079.548509,USD,2025-07-23 00:02:31+00:00
SLL,22587.122048,USD,2025-07-23 00:02:31+00:00
LAK,21629.46036,USD,2025-07-23 00:02:31+00:00
IDR,16287.940894,USD,2025-07-23 00:02:31+00:00
SYP,12904.626298,USD,2025-07-23 00:02:31+00:00
UZS,12706.469487,USD,2025-07-23 00:02:31+00:00
GNF,8695.174539,USD,2025-07-23 00:02:31+00:00
PYG,7712.13042,USD,2025-07-23 00:02:31+00:00
SSP,4700.715675,USD,2025-07-23 00:02:31+00:00
MGA,4428.270585,USD,2025-07-23 00:02:31+00:00
COP,4031.424946,USD,2025-07-23 00:02:31+00:00
KHR,4015.034017,USD,2025-07-23 00:02:31+00:00
UGX,3566.268248,USD,2025-07-23 00:02:31+00:00
MNT,3549.722999,USD,2025-07-23 00:02:31+00:00
BIF,2968.995895,USD,2025-07-23 00:02:31+00:00
CDF,2885.034716,USD,2025-07-23 00:02:31+00:00
TZS,2570.120252,USD,2025-07-23 00:02:31+00:00
MMK,2101.840688,USD,2025-07-23 00:02:31+00:00
MWK,1743.495883,USD,2025-07-23 00:02:31+00:00
NGN,1530.702921,USD,2025-07-23 00:02:31+00:00
RWF,1447.371971,USD,2025-07-23 00:02:31+00:00
KRW,1382.570985,USD,2025-07-23 00:02:31+00:00
IQD,1309.652601,USD,2025-07-23 00:02:31+00:00
ARS,1266.17,USD,2025-07-23 00:02:31+00:00
CLP,954.390465,USD,2025-07-23 00:02:31+00:00
AOA,919.500184,USD,2025-07-23 00:02:31+00:00
SOS,571.439646,USD,2025-07-23 00:02:31+00:00
XAF,559.200947,USD,2025-07-23 00:02:31+00:00
XOF,559.200947,USD,2025-07-23 00:02:31+00:00
KZT,534.708476,USD,2025-07-23 00:02:31+00:00
CRC,504.319982,USD,2025-07-23 00:02:31+00:00
SDG,448.982974,USD,2025-07-23 00:02:31+00:00
KMF,419.40071,USD,2025-07-23 00:02:31+00:00
AMD,384.05298,USD,2025-07-23 00:02:31+00:00
HUF,340.201509,USD,2025-07-23 00:02:31+00:00
LKR,301.537847,USD,2025-07-23 00:02:31+00:00
PKR,284.836823,USD,2025-07-23 00:02:31+00:00
YER,241.034589,USD,2025-07-23 00:02:31+00:00
GYD,209.291104,USD,2025-07-23 00:02:31+00:00
LRD,200.483808,USD,2025-07-23 00:02:31+00:00
DJF,177.721,USD,2025-07-23 00:02:31+00:00
JMD,160.077474,USD,2025-07-23 00:02:31+00:00
JPY,146.84242,USD,2025-07-23 00:02:31+00:00
NPR,138.219676,USD,2025-07-23 00:02:31+00:00
ETB,136.637154,USD,2025-07-23 00:02:31+00:00
HTG,131.134715,USD,2025-07-23 00:02:31+00:00
DZD,130.000915,USD,2025-07-23 00:02:31+00:00
KES,129.161416,USD,2025-07-23 00:02:31+00:00
ISK,121.711495,USD,2025-07-23 00:02:31+00:00
BDT,121.663203,USD,2025-07-23 00:02:31+00:00
VES,120.4239,USD,2025-07-23 00:02:31+00:00
VUV,119.796086,USD,2025-07-23 00:02:31+00:00
XPF,101.730094,USD,2025-07-23 00:02:31+00:00
RSD,99.966909,USD,2025-07-23 00:02:31+00:00
CVE,94.00051,USD,2025-07-23 00:02:31+00:00
KGS,87.29716,USD,2025-07-23 00:02:31+00:00
INR,86.38734,USD,2025-07-23 00:02:31+00:00
BTN,86.387298,USD,2025-07-23 00:02:31+00:00
ALL,83.396267,USD,2025-07-23 00:02:31+00:00
RUB,78.410396,USD,2025-07-23 00:02:31+00:00
GMD,72.780872,USD,2025-07-23 00:02:31+00:00
AFN,68.947834,USD,2025-07-23 00:02:31+00:00
MZN,63.622241,USD,2025-07-23 00:02:31+00:00
DOP,60.350968,USD,2025-07-23 00:02:31+00:00
PHP,56.942287,USD,2025-07-23 00:02:31+00:00
MKD,52.845807,USD,2025-07-23 00:02:31+00:00
EGP,49.073645,USD,2025-07-23 00:02:31+00:00
MUR,45.472585,USD,2025-07-23 00:02:31+00:00
UAH,41.779523,USD,2025-07-23 00:02:31+00:00
TRY,40.440709,USD,2025-07-23 00:02:31+00:00
UYU,40.299939,USD,2025-07-23 00:02:31+00:00
MRU,39.961257,USD,2025-07-23 00:02:31+00:00
SRD,36.930176,USD,2025-07-23 00:02:31+00:00
NIO,36.786153,USD,2025-07-23 00:02:31+00:00
THB,32.212637,USD,2025-07-23 00:02:31+00:00
TWD,29.364977,USD,2025-07-23 00:02:31+00:00
ZWL,26.7891,USD,2025-07-23 00:02:31+00:00
HNL,26.170877,USD,2025-07-23 00:02:31+00:00
CUP,24.0,USD,2025-07-23 00:02:31+00:00
ZMW,23.098109,USD,2025-07-23 00:02:31+00:00
SLE,22.587122,USD,2025-07-23 00:02:31+00:00
CZK,20.996945,USD,2025-07-23 00:02:31+00:00
STN,20.886161,USD,2025-07-23 00:02:31+00:00
MXN,18.644151,USD,2025-07-23 00:02:31+00:00
ZAR,17.566908,USD,2025-07-23 00:02:31+00:00
SZL,17.5668,USD,2025-07-23 00:02:31+00:00
NAD,17.5668,USD,2025-07-23 00:02:31+00:00
LSL,17.5668,USD,2025-07-23 00:02:31+00:00
MDL,16.948498,USD,2025-07-23 00:02:31+00:00
MVR,15.438238,USD,2025-07-23 00:02:31+00:00
ERN,15.0,USD,2025-07-23 00:02:31+00:00
SCR,14.513945,USD,2025-07-23 00:02:31+00:00
BWP,14.006139,USD,2025-07-23 00:02:31+00:00
GHS,10.877823,USD,2025-07-23 00:02:31+00:00
NOK,10.111658,USD,2025-07-23 00:02:31+00:00
TJS,9.666021,USD,2025-07-23 00:02:31+00:00
SEK,9.539725,USD,2025-07-23 00:02:31+00:00
MAD,9.008252,USD,2025-07-23 00:02:31+00:00
SBD,8.240486,USD,2025-07-23 00:02:31+00:00
MOP,8.085331,USD,2025-07-23 00:02:31+00:00
HKD,7.849836,USD,2025-07-23 00:02:31+00:00
GTQ,7.67471,USD,2025-07-23 00:02:31+00:00
CNY,7.173692,USD,2025-07-23 00:02:31+00:00
BOB,6.910377,USD,2025-07-23 00:02:31+00:00
TTD,6.776617,USD,2025-07-23 00:02:31+00:00
HRK,6.423134,USD,2025-07-23 00:02:31+00:00
DKK,6.359385,USD,2025-07-23 00:02:31+00:00
FOK,6.358842,USD,2025-07-23 00:02:31+00:00
BRL,5.56705,USD,2025-07-23 00:02:31+00:00
LYD,5.428012,USD,2025-07-23 00:02:31+00:00
RON,4.333579,USD,2025-07-23 00:02:31+00:00
MYR,4.231422,USD,2025-07-23 00:02:31+00:00
PGK,4.19938,USD,2025-07-23 00:02:31+00:00
SAR,3.75,USD,2025-07-23 00:02:31+00:00
AED,3.6725,USD,2025-07-23 00:02:31+00:00
QAR,3.64,USD,2025-07-23 00:02:31+00:00
PLN,3.624594,USD,2025-07-23 00:02:31+00:00
PEN,3.557651,USD,2025-07-23 00:02:31+00:00
TMT,3.499974,USD,2025-07-23 00:02:31+00:00
ILS,3.344972,USD,2025-07-23 00:02:31+00:00
BYN,3.130978,USD,2025-07-23 00:02:31+00:00
TND,2.876197,USD,2025-07-23 00:02:31+00:00
WST,2.731321,USD,2025-07-23 00:02:31+00:00
GEL,2.709436,USD,2025-07-23 00:02:31+00:00
XCD,2.7,USD,2025-07-23 00:02:31+00:00
TOP,2.384362,USD,2025-07-23 00:02:31+00:00
FJD,2.253222,USD,2025-07-23 00:02:31+00:00
BZD,2.0,USD,2025-07-23 00:02:31+00:00
BBD,2.0,USD,2025-07-23 00:02:31+00:00
AWG,1.79,USD,2025-07-23 00:02:31+00:00
XCG,1.79,USD,2025-07-23 00:02:31+00:00
ANG,1.79,USD,2025-07-23 00:02:31+00:00
AZN,1.700547,USD,2025-07-23 00:02:31+00:00
NZD,1.669091,USD,2025-07-23 00:02:31+00:00
BGN,1.667819,USD,2025-07-23 00:02:31+00:00
BAM,1.667338,USD,2025-07-23 00:02:31+00:00
TVD,1.52924,USD,2025-07-23 00:02:31+00:00
KID,1.52924,USD,2025-07-23 00:02:31+00:00
AUD,1.52905,USD,2025-07-23 00:02:31+00:00
CAD,1.36255,USD,2025-07-23 00:02:31+00:00
SGD,1.279703,USD,2025-07-23 00:02:31+00:00
BND,1.279687,USD,2025-07-23 00:02:31+00:00
BMD,1.0,USD,2025-07-23 00:02:31+00:00
USD,1.0,USD,2025-07-23 00:02:31+00:00
BSD,1.0,USD,2025-07-23 00:02:31+00:00
PAB,1.0,USD,2025-07-23 00:02:31+00:00
EUR,0.852711,USD,2025-07-23 00:02:31+00:00
KYD,0.833333,USD,2025-07-23 00:02:31+00:00
CHF,0.794869,USD,2025-07-23 00:02:31+00:00
SHP,0.740232,USD,2025-07-23 00:02:31+00:00
FKP,0.740232,USD,2025-07-23 00:02:31+00:00
GGP,0.740232,USD,2025-07-23 00:02:31+00:00
GIP,0.740232,USD,2025-07-23 00:02:31+00:00
IMP,0.740232,USD,2025-07-23 00:02:31+00:00
JEP,0.740232,USD,2025-07-23 00:02:31+00:00
GBP,0.740221,USD,2025-07-23 00:02:31+00:00
XDR,0.730574,USD,2025-07-23 00:02:31+00:00
JOD,0.709,USD,2025-07-23 00:02:31+00:00
OMR,0.384497,USD,2025-07-23 00:02:31+00:00
BHD,0.376,USD,2025-07-23 00:02:31+00:00
KWD,0.305384,USD,2025-07-23 00:02:31+00:00
